epoch,accuracy,loss,val_accuracy,val_loss
0,0.13618333637714386,2.2860758304595947,0.24959999322891235,2.2554244995117188
1,0.22139999270439148,2.2395968437194824,0.4440000057220459,2.198221445083618
2,0.31263333559036255,2.178741216659546,0.5407000184059143,2.1181116104125977
3,0.38948333263397217,2.092867136001587,0.6007000207901001,2.007009983062744
4,0.45320001244544983,1.9767431020736694,0.6396999955177307,1.8597512245178223
5,0.510283350944519,1.829097867012024,0.6811000108718872,1.675247311592102
6,0.5527499914169312,1.6642446517944336,0.7213000059127808,1.4706742763519287
7,0.5949500203132629,1.489680290222168,0.7616999745368958,1.267289400100708
8,0.6301666498184204,1.330992341041565,0.786899983882904,1.087418794631958
9,0.6612833142280579,1.1954779624938965,0.8105999827384949,0.9418784976005554
10,0.6838833093643188,1.087777853012085,0.8237000107765198,0.8324350714683533
11,0.7010833621025085,1.005013346672058,0.8339999914169312,0.7496951818466187
